"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-05-18,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-18,"Out of Canada","Out of Canada","Out of Canada",1,0.43
2020-05-19,"BC","All","All",12,12.71
2020-05-19,"BC","Fraser","All",11,11.14
2020-05-19,"BC","Fraser","Fraser East",8,3.86
2020-05-19,"BC","Fraser","Fraser North",1,0.86
2020-05-19,"BC","Fraser","Fraser South",2,6.43
2020-05-19,"BC","Fraser","Unknown",0,0
2020-05-19,"BC","Interior","All",1,0.14
2020-05-19,"BC","Interior","East Kootenay",0,0
2020-05-19,"BC","Interior","Kootenay Boundary",0,0
2020-05-19,"BC","Interior","Okanagan",0,0
2020-05-19,"BC","Interior","Thompson Cariboo Shuswap",1,0.14
2020-05-19,"BC","Northern","All",0,0.43
2020-05-19,"BC","Northern","Northeast",0,0.14
2020-05-19,"BC","Northern","Northern Interior",0,0.29
2020-05-19,"BC","Northern","Northwest",0,0
2020-05-19,"BC","Northern","Unknown",0,0
2020-05-19,"BC","Vancouver Coastal","All",0,1
2020-05-19,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.57
2020-05-19,"BC","Vancouver Coastal","Richmond",0,0
2020-05-19,"BC","Vancouver Coastal","Unknown",0,0
2020-05-19,"BC","Vancouver Coastal","Vancouver",0,0.43
2020-05-19,"BC","Vancouver Island","All",0,0
2020-05-19,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-19,"BC","Vancouver Island","North Vancouver Island",0,0
2020-05-19,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-19,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2020-05-20,"BC","All","All",13,11.29
2020-05-20,"BC","Fraser","All",10,9.43
2020-05-20,"BC","Fraser","Fraser East",6,4.43
2020-05-20,"BC","Fraser","Fraser North",3,1.14
2020-05-20,"BC","Fraser","Fraser South",1,3.86
2020-05-20,"BC","Fraser","Unknown",0,0
2020-05-20,"BC","Interior","All",3,0.57
2020-05-20,"BC","Interior","East Kootenay",0,0
2020-05-20,"BC","Interior","Kootenay Boundary",2,0.29
2020-05-20,"BC","Interior","Okanagan",0,0
2020-05-20,"BC","Interior","Thompson Cariboo Shuswap",1,0.29
2020-05-20,"BC","Northern","All",0,0.29
2020-05-20,"BC","Northern","Northeast",0,0
2020-05-20,"BC","Northern","Northern Interior",0,0.29
2020-05-20,"BC","Northern","Northwest",0,0
2020-05-20,"BC","Northern","Unknown",0,0
2020-05-20,"BC","Vancouver Coastal","All",0,1
2020-05-20,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.57
2020-05-20,"BC","Vancouver Coastal","Richmond",0,0
